path,emotion,intensity,gender,dataset,extra_info
standardised_datasets/SAVEE/06_01_M_savee_DC_06.wav,fear,normal,M,savee,DC_06
standardised_datasets/SAVEE/06_01_M_savee_DC_12.wav,fear,normal,M,savee,DC_12
standardised_datasets/SAVEE/06_01_M_savee_KL_11.wav,fear,normal,M,savee,KL_11
standardised_datasets/SAVEE/06_01_M_savee_KL_05.wav,fear,normal,M,savee,KL_05
standardised_datasets/SAVEE/06_01_M_savee_JK_09.wav,fear,normal,M,savee,JK_09
standardised_datasets/SAVEE/03_01_M_savee_DC_07.wav,happy,normal,M,savee,DC_07
standardised_datasets/SAVEE/03_01_M_savee_DC_13.wav,happy,normal,M,savee,DC_13
standardised_datasets/SAVEE/05_01_M_savee_JK_10.wav,angry,normal,M,savee,JK_10
standardised_datasets/SAVEE/05_01_M_savee_JK_04.wav,angry,normal,M,savee,JK_04
standardised_datasets/SAVEE/05_01_M_savee_JE_01.wav,angry,normal,M,savee,JE_01
standardised_datasets/SAVEE/03_01_M_savee_KL_10.wav,happy,normal,M,savee,KL_10
standardised_datasets/SAVEE/03_01_M_savee_KL_04.wav,happy,normal,M,savee,KL_04
standardised_datasets/SAVEE/05_01_M_savee_JE_15.wav,angry,normal,M,savee,JE_15
standardised_datasets/SAVEE/05_01_M_savee_KL_08.wav,angry,normal,M,savee,KL_08
standardised_datasets/SAVEE/03_01_M_savee_JK_08.wav,happy,normal,M,savee,JK_08
standardised_datasets/SAVEE/03_01_M_savee_JK_09.wav,happy,normal,M,savee,JK_09
standardised_datasets/SAVEE/05_01_M_savee_KL_09.wav,angry,normal,M,savee,KL_09
standardised_datasets/SAVEE/03_01_M_savee_KL_05.wav,happy,normal,M,savee,KL_05
standardised_datasets/SAVEE/05_01_M_savee_JE_14.wav,angry,normal,M,savee,JE_14
standardised_datasets/SAVEE/03_01_M_savee_KL_11.wav,happy,normal,M,savee,KL_11
standardised_datasets/SAVEE/05_01_M_savee_JK_05.wav,angry,normal,M,savee,JK_05
standardised_datasets/SAVEE/05_01_M_savee_JK_11.wav,angry,normal,M,savee,JK_11
standardised_datasets/SAVEE/03_01_M_savee_DC_12.wav,happy,normal,M,savee,DC_12
standardised_datasets/SAVEE/03_01_M_savee_DC_06.wav,happy,normal,M,savee,DC_06
standardised_datasets/SAVEE/06_01_M_savee_JK_08.wav,fear,normal,M,savee,JK_08
standardised_datasets/SAVEE/06_01_M_savee_KL_04.wav,fear,normal,M,savee,KL_04
standardised_datasets/SAVEE/06_01_M_savee_KL_10.wav,fear,normal,M,savee,KL_10
standardised_datasets/SAVEE/06_01_M_savee_DC_13.wav,fear,normal,M,savee,DC_13
standardised_datasets/SAVEE/06_01_M_savee_DC_07.wav,fear,normal,M,savee,DC_07
standardised_datasets/SAVEE/06_01_M_savee_DC_11.wav,fear,normal,M,savee,DC_11
standardised_datasets/SAVEE/06_01_M_savee_DC_05.wav,fear,normal,M,savee,DC_05
standardised_datasets/SAVEE/06_01_M_savee_KL_06.wav,fear,normal,M,savee,KL_06
